%       time         npart          tres             T             Z            N2            CO    A1CH3-C7H9        BIOOIL           rho
 0.00000E+00             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.00000E+00   1.98000E-01
 5.00000E-04             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   1.43504E-04   4.24829E-03   9.95608E-01   1.93814E-01
 1.00000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   2.85824E-04   8.46153E-03   9.91253E-01   1.94495E-01
 1.50000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   4.26975E-04   1.26401E-02   9.86933E-01   1.95176E-01
 2.00000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   5.66970E-04   1.67846E-02   9.82648E-01   1.95856E-01
 2.50000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   7.05825E-04   2.08952E-02   9.78399E-01   1.96534E-01
 3.00000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   8.43552E-04   2.49724E-02   9.74184E-01   1.97213E-01
 3.50000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   9.80165E-04   2.90167E-02   9.70003E-01   1.97890E-01
 4.00000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   1.11568E-03   3.30285E-02   9.65856E-01   1.98566E-01
 4.50000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   1.25010E-03   3.70080E-02   9.61742E-01   1.99242E-01
 5.00000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   1.38346E-03   4.09558E-02   9.57661E-01   1.99916E-01
 5.50000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   1.51575E-03   4.48721E-02   9.53612E-01   2.00590E-01
 6.00000E-03             1   0.00000E+00   1.07300E+03   1.00000E+00   0.00000E+00   1.64699E-03   4.87574E-02   9.49596E-01   2.01263E-01
